model,params,confusion,accuracy,precision,recall,f1,roc_auc
DecisionTreeClassifier(max_depth=5),"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7660100321926493
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7654289807036502
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_impurity_decrease=0.0001)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7654289807036502
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5,                       min_impurity_decrease=0.0001)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7654289807036502
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5,                       min_impurity_decrease=0.0001)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5,                       min_impurity_decrease=0.0001)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_impurity_decrease=0.001)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5,                       min_impurity_decrease=0.001)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5,                       min_impurity_decrease=0.001)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5, min_impurity_decrease=0.001)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_impurity_decrease=0.01)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5,                       min_impurity_decrease=0.01)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5, min_impurity_decrease=0.01)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5, min_impurity_decrease=0.01)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=5)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7660100321926493
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5, min_samples_leaf=5)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7654289807036502
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5, min_samples_leaf=5)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5, min_samples_leaf=5)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_impurity_decrease=0.0001,                       min_samples_leaf=5)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7654289807036502
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5,                       min_impurity_decrease=0.0001, min_samples_leaf=5)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51835 19803] [1293  2799]],0.7214314010299749,0.12383859835412796,0.6840175953079178,0.20971004720161834,0.7654289807036502
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5,                       min_impurity_decrease=0.0001, min_samples_leaf=5)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5,                       min_impurity_decrease=0.0001, min_samples_leaf=5)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_impurity_decrease=0.001,                       min_samples_leaf=5)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.0001, max_depth=5,                       min_impurity_decrease=0.001, min_samples_leaf=5)","{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.001, max_depth=5,                       min_impurity_decrease=0.001, min_samples_leaf=5)","{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51317 20321] [1305  2787]],0.7144328535586953,0.12060758178985632,0.6810850439882697,0.2049264705882353,0.7568523863204151
"DecisionTreeClassifier(ccp_alpha=0.01, max_depth=5, min_impurity_decrease=0.001,                       min_samples_leaf=5)","{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
"DecisionTreeClassifier(max_depth=5, min_impurity_decrease=0.01,                       min_samples_leaf=5)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42272 29366] [ 847  3245]],0.6010431797174172,0.09950630155469013,0.793010752688172,0.17682478271530938,0.692589821511364
