model,params,confusion,accuracy,precision,recall,f1,roc_auc
"RandomForestClassifier(max_depth=5, n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46967 24693] [ 942  3128]],0.6614947841014129,0.11243305416771504,0.7685503685503685,0.19616819792417928,0.7767011484754996
"RandomForestClassifier(max_depth=5, min_impurity_decrease=0.001,                       n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46668 24992] [ 943  3127]],0.6575333421365377,0.11120594615740247,0.7683046683046683,0.19428997483612415,0.7715526894336552
"RandomForestClassifier(max_depth=5, min_impurity_decrease=1e-05,                       n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 1e-05, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[51555 20105] [1207  2863]],0.7185791628152648,0.12465168930686173,0.7034398034398034,0.21177601893631187,0.7769383387015261
"RandomForestClassifier(max_depth=10, n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46822 24838] [ 932  3138]],0.659712135217219,0.11216757220474692,0.771007371007371,0.19584347500468077,0.7765527065771276
"RandomForestClassifier(max_depth=10, min_impurity_decrease=0.001,                       n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[45989 25671] [ 896  3174]],0.6491879043972005,0.11003640145605824,0.7798525798525798,0.19286039799483518,0.7741574720509972
"RandomForestClassifier(max_depth=10, min_impurity_decrease=1e-05,                       n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 1e-05, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46716 24944] [ 924  3146]],0.6584180641753599,0.11199715201139196,0.772972972972973,0.19564676616915425,0.7780874039365527
"RandomForestClassifier(max_depth=20, n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46822 24838] [ 932  3138]],0.659712135217219,0.11216757220474692,0.771007371007371,0.19584347500468077,0.7765624063537824
"RandomForestClassifier(max_depth=20, min_impurity_decrease=0.001,                       n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46388 25272] [ 920  3150]],0.6541397068532946,0.11082963901203294,0.773955773955774,0.19389388157084825,0.773792573242057
"RandomForestClassifier(max_depth=20, min_impurity_decrease=1e-05,                       n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 1e-05, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[46716 24944] [ 924  3146]],0.6584180641753599,0.11199715201139196,0.772972972972973,0.19564676616915425,0.7778308690163283
"RandomForestClassifier(max_depth=5, max_features='log2', n_estimators=50)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[47194 24466] [ 957  3113]],0.6642942030899247,0.11287573878675804,0.7648648648648648,0.19672027552213336,0.7766662546518813
