model,params,confusion,accuracy,precision,recall,f1,roc_auc
"SGDClassifier(early_stopping=True, loss='log_loss')","{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[52116 19615] [1289  2710]],0.7239667238874951,0.1213885778275476,0.6776694173543386,0.2058957605227169,0.7725473212136245
"SGDClassifier(alpha=0.001, early_stopping=True, loss='log_loss')","{'alpha': 0.001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[47822 23909] [1023  2976]],0.6707777631057705,0.11069369536916496,0.7441860465116279,0.19272115011008933,0.77166063831972
"SGDClassifier(alpha=0.01, early_stopping=True, loss='log_loss')","{'alpha': 0.01, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[47878 23853] [1028  2971]],0.6714512082397993,0.11075902177154787,0.7429357339334833,0.19277812023488952,0.7703069694038223
"SGDClassifier(alpha=0.1, early_stopping=True, loss='log_loss')","{'alpha': 0.1, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[48732 22999] [1095  2904]],0.6818433909943219,0.11211056634366676,0.7261815453863466,0.19423449936459097,0.7674711403450672
"SGDClassifier(early_stopping=True, loss='log_loss', penalty='l1')","{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l1', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[47791 23940] [1020  2979]],0.6704080285223821,0.11066532932129723,0.7449362340585146,0.19270327964292647,0.7718851999040663
"SGDClassifier(alpha=0.001, early_stopping=True, loss='log_loss', penalty='l1')","{'alpha': 0.001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l1', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[47822 23909] [1023  2976]],0.6707777631057705,0.11069369536916496,0.7441860465116279,0.19272115011008933,0.7717635623792121
"SGDClassifier(alpha=0.01, early_stopping=True, loss='log_loss', penalty='l1')","{'alpha': 0.01, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l1', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[49414 22317] [1161  2838]],0.6899775518288657,0.11282051282051282,0.7096774193548387,0.19469026548672566,0.7646749832751019
"SGDClassifier(alpha=0.1, early_stopping=True, loss='log_loss', penalty='l1')","{'alpha': 0.1, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l1', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[71731     0] [3999     0]],0.9471939786082134,0.0,0.0,0.0,0.5
"SGDClassifier(early_stopping=True, loss='log_loss', penalty='elasticnet')","{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[47822 23909] [1023  2976]],0.6707777631057705,0.11069369536916496,0.7441860465116279,0.19272115011008933,0.7726803792512444
"SGDClassifier(alpha=0.001, early_stopping=True, loss='log_loss',              penalty='elasticnet')","{'alpha': 0.001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'log_loss', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[52116 19615] [1289  2710]],0.7239667238874951,0.1213885778275476,0.6776694173543386,0.2058957605227169,0.7720159501335512
