model,confusion,accuracy,precision,recall,f1,roc_auc
KNeighborsClassifier(n_neighbors=3),[[70113  1570] [3694   353]],0.9304898983229896,0.18356734269370775,0.08722510501606127,0.11825795644891123,0.5951860830752241
KNeighborsClassifier(n_neighbors=3),[[70113  1570] [3694   353]],0.9304898983229896,0.18356734269370775,0.08722510501606127,0.11825795644891123,0.5951860830752241
"KNeighborsClassifier(algorithm='ball_tree', n_neighbors=3)",[[70115  1568] [3696   351]],0.9304898983229896,0.1829077644606566,0.08673091178650852,0.11766677841099565,0.5952238388781572
"KNeighborsClassifier(algorithm='ball_tree', n_neighbors=3)",[[70115  1568] [3696   351]],0.9304898983229896,0.1829077644606566,0.08673091178650852,0.11766677841099565,0.5952238388781572
"KNeighborsClassifier(algorithm='kd_tree', n_neighbors=3)",[[70113  1570] [3694   353]],0.9304898983229896,0.18356734269370775,0.08722510501606127,0.11825795644891123,0.5951860830752241
"KNeighborsClassifier(algorithm='kd_tree', n_neighbors=3)",[[70113  1570] [3694   353]],0.9304898983229896,0.18356734269370775,0.08722510501606127,0.11825795644891123,0.5951860830752241
"KNeighborsClassifier(algorithm='brute', n_neighbors=3)",[[70087  1596] [3690   357]],0.9301993925788987,0.1827956989247312,0.08821349147516679,0.11900000000000001,0.5954071267037349
"KNeighborsClassifier(algorithm='brute', n_neighbors=3)",[[70087  1596] [3690   357]],0.9301993925788987,0.1827956989247312,0.08821349147516679,0.11900000000000001,0.5954071267037349
"KNeighborsClassifier(n_neighbors=3, weights='distance')",[[70394  1289] [3760   287]],0.9333289317311502,0.18210659898477158,0.07091672844082036,0.10208073981860216,0.5888189855577278
"KNeighborsClassifier(n_neighbors=3, weights='distance')",[[70394  1289] [3760   287]],0.9333289317311502,0.18210659898477158,0.07091672844082036,0.10208073981860216,0.5888189855577278
"KNeighborsClassifier(algorithm='ball_tree', n_neighbors=3, weights='distance')",[[70394  1289] [3759   288]],0.9333421365376997,0.18262523779327838,0.07116382505559674,0.10241820768136556,0.5888111089933437
"KNeighborsClassifier(algorithm='ball_tree', n_neighbors=3, weights='distance')",[[70394  1289] [3759   288]],0.9333421365376997,0.18262523779327838,0.07116382505559674,0.10241820768136556,0.5888111089933437
"KNeighborsClassifier(algorithm='kd_tree', n_neighbors=3, weights='distance')",[[70394  1289] [3760   287]],0.9333289317311502,0.18210659898477158,0.07091672844082036,0.10208073981860216,0.5888189855577278
"KNeighborsClassifier(algorithm='kd_tree', n_neighbors=3, weights='distance')",[[70394  1289] [3760   287]],0.9333289317311502,0.18210659898477158,0.07091672844082036,0.10208073981860216,0.5888189855577278
"KNeighborsClassifier(algorithm='brute', n_neighbors=3, weights='distance')",[[70366  1317] [3756   291]],0.9330120163739601,0.18097014925373134,0.07190511489992588,0.10291777188328913,0.5891665281890812
"KNeighborsClassifier(algorithm='brute', n_neighbors=3, weights='distance')",[[70366  1317] [3756   291]],0.9330120163739601,0.18097014925373134,0.07190511489992588,0.10291777188328913,0.5891665281890812
KNeighborsClassifier(),[[70469  1214] [3729   318]],0.934728641225406,0.20757180156657964,0.07857672349888807,0.11399892453844775,0.6217102240504768
KNeighborsClassifier(),[[70469  1214] [3729   318]],0.934728641225406,0.20757180156657964,0.07857672349888807,0.11399892453844775,0.6217102240504768
KNeighborsClassifier(algorithm='ball_tree'),[[70471  1212] [3729   318]],0.9347550508385052,0.20784313725490197,0.07857672349888807,0.11403980634749865,0.6216003795862877
KNeighborsClassifier(algorithm='ball_tree'),[[70471  1212] [3729   318]],0.9347550508385052,0.20784313725490197,0.07857672349888807,0.11403980634749865,0.6216003795862877
KNeighborsClassifier(algorithm='kd_tree'),[[70469  1214] [3729   318]],0.934728641225406,0.20757180156657964,0.07857672349888807,0.11399892453844775,0.6217102240504768
KNeighborsClassifier(algorithm='kd_tree'),[[70469  1214] [3729   318]],0.934728641225406,0.20757180156657964,0.07857672349888807,0.11399892453844775,0.6217102240504768
KNeighborsClassifier(algorithm='brute'),[[70463  1220] [3727   320]],0.9346758219992077,0.2077922077922078,0.07907091672844083,0.11455163773044567,0.6218183380834532
KNeighborsClassifier(algorithm='brute'),[[70463  1220] [3727   320]],0.9346758219992077,0.2077922077922078,0.07907091672844083,0.11455163773044567,0.6218183380834532
KNeighborsClassifier(weights='distance'),[[70964   719] [3827   220]],0.9399709494255909,0.23429179978700745,0.05436125525080306,0.08824709185720016,0.61158032281994
KNeighborsClassifier(weights='distance'),[[70964   719] [3827   220]],0.9399709494255909,0.23429179978700745,0.05436125525080306,0.08824709185720016,0.61158032281994
"KNeighborsClassifier(algorithm='ball_tree', weights='distance')",[[70960   723] [3827   220]],0.9399181301993926,0.23329798515376457,0.05436125525080306,0.08817635270541083,0.6113445050317131
