model,params,confusion,accuracy,precision,recall,f1,roc_auc
KNeighborsClassifier(weights='distance'),,[[70964   719] [3827   220]],0.9399709494255908,0.2342917997870074,0.054361255250803,0.0882470918572001,0.61158032281994
"KNeighborsClassifier(algorithm='kd_tree', weights='distance')",,[[70964   719] [3827   220]],0.9399709494255908,0.2342917997870074,0.054361255250803,0.0882470918572001,0.61158032281994
"KNeighborsClassifier(algorithm='brute', weights='distance')",,[[70959   724] [3826   221]],0.9399181301993926,0.2338624338624338,0.0546083518655794,0.0885416666666666,0.6113320748824046
"KNeighborsClassifier(algorithm='ball_tree', weights='distance')",,[[70960   723] [3827   220]],0.9399181301993926,0.2332979851537645,0.054361255250803,0.0881763527054108,0.6113445050317131
"SGDClassifier(alpha=0.1, early_stopping=True, loss='squared_hinge',              penalty='l1')","{'alpha': 0.1, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'squared_hinge', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l1', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[69358  2373] [3473   526]],0.9228047009111316,0.1814418765091411,0.1315328832208052,0.1525079733256016,0.0
"SGDClassifier(alpha=0.1, early_stopping=True, loss='huber')","{'alpha': 0.1, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[61365 10366] [2172  1827]],0.8344381354813152,0.149840072172558,0.4568642160540135,0.2256669960474308,0.0
"SGDClassifier(alpha=0.001, early_stopping=True, loss='perceptron', penalty=None)","{'alpha': 0.001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'perceptron', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': None, 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[67995  3736] [3406   593]],0.9056912716228708,0.136983136983137,0.1482870717679419,0.1424111431316042,0.0
"SGDClassifier(early_stopping=True, loss='modified_huber', penalty=None)","{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': True, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': None, 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",[[56553 15178] [1601  2398]],0.7784365509045292,0.1364360491579426,0.5996499124781195,0.2222943221320973,0.7683020140238109
"DecisionTreeClassifier(criterion='log_loss', max_depth=5, max_features='sqrt',                       min_impurity_decrease=0.001)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.001, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[56641 15007] [1715  2367]],0.7791892248778556,0.1362380568665822,0.5798628123468887,0.2206375838926174,0.7474843635081105
"DecisionTreeClassifier(max_depth=4, max_features='log2',                       min_impurity_decrease=0.0005)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0005, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[58867 12781] [2093  1989]],0.8035917073814869,0.1346648612051455,0.4872611464968153,0.2110120942075111,0.7346779383103064
"DecisionTreeClassifier(ccp_alpha=0.0005, criterion='log_loss', max_depth=4,                       max_features='sqrt')","{'ccp_alpha': 0.0005, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[54796 16852] [1557  2525]],0.7569127162287073,0.130309129380193,0.6185693287604116,0.2152691930602327,0.7135766426761877
"RandomForestClassifier(max_depth=5, max_features=None)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[52112 19548] [1268  2802]],0.7251287468638584,0.1253691275167785,0.6884520884520885,0.212112036336109,0.7715584667838367
"RandomForestClassifier(criterion='entropy', max_depth=5, max_features=None,                       n_estimators=150)","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 150, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",[[52112 19548] [1268  2802]],0.7251287468638584,0.1253691275167785,0.6884520884520885,0.212112036336109,0.7714853464455752
